CustomerID,Segment,Recency,Frequency,Monetary,RFM_Score
12346.0,At Risk,326,1,77183.6,114
12347.0,VIP,2,7,4310.0,444
12348.0,At Risk,75,4,1797.24,234
12349.0,Regular,19,1,1757.55,314
12350.0,At Risk,310,1,334.4,112
12352.0,VIP,36,8,2506.04,344
12353.0,At Risk,204,1,89.0,111
12354.0,At Risk,232,1,1079.4,113
12355.0,At Risk,214,1,459.4,112
12356.0,Regular,23,3,2811.43,334
12357.0,Regular,33,1,6207.67,314
12358.0,Regular,2,2,1168.06,423
12359.0,At Risk,58,4,6372.58,234
12360.0,At Risk,52,3,2662.06,234
12361.0,At Risk,287,1,189.9,111
12362.0,VIP,3,10,5226.23,444
12363.0,At Risk,110,2,552.0,222
12364.0,Regular,8,4,1313.1,433
12365.0,At Risk,291,2,641.38,122
12367.0,Regular,4,1,168.9,411
12370.0,Regular,51,4,3545.69,334
12371.0,Regular,45,2,1887.96,324
12372.0,At Risk,72,3,1298.04,233
12373.0,At Risk,311,1,364.6,112
12374.0,Regular,25,1,742.9300000000001,313
12375.0,Regular,11,2,457.5,422
12377.0,At Risk,315,2,1628.12,123
12378.0,At Risk,130,1,4008.62,214
12379.0,At Risk,82,2,852.24,223
12380.0,Regular,22,4,2724.81,334
12381.0,VIP,5,5,1845.31,434
12383.0,At Risk,185,5,1850.56,134
12384.0,Regular,29,2,585.27,322
12386.0,At Risk,338,2,401.9,122
12388.0,VIP,16,6,2780.66,444
12390.0,At Risk,80,1,549.84,212
12391.0,Regular,22,1,460.89,312
12393.0,At Risk,72,4,1582.6000000000001,233
12394.0,At Risk,64,2,1272.48,223
12395.0,VIP,19,12,3018.63,344
12397.0,Regular,36,2,2409.9,324
12398.0,Regular,46,1,1635.6599999999999,313
12399.0,At Risk,119,4,1108.65,233
12401.0,At Risk,303,1,84.3,111
12402.0,At Risk,323,1,225.6,111
12403.0,Regular,50,1,427.7,312
12405.0,At Risk,149,1,1710.39,114
12406.0,Regular,22,2,3415.3,324
12407.0,Regular,50,5,1708.1200000000001,334
12408.0,Regular,33,5,2888.55,334
12409.0,At Risk,79,3,11072.67,234
12410.0,At Risk,309,2,693.3299999999999,123
12412.0,At Risk,75,3,1226.88,233
12413.0,At Risk,67,3,758.1,233
12414.0,At Risk,217,3,562.41,132
12415.0,VIP,24,21,124914.53,344
12417.0,VIP,3,9,3649.1,444
12418.0,At Risk,113,1,668.58,212
12420.0,At Risk,64,1,600.39,212
12421.0,Regular,16,4,807.04,433
12422.0,At Risk,96,3,803.5600000000001,233
12423.0,VIP,1,8,1859.31,444
12424.0,At Risk,163,2,1760.96,124
12425.0,At Risk,78,1,777.2,213
12426.0,At Risk,195,1,582.73,112
12427.0,Regular,22,3,825.8,333
12428.0,VIP,26,9,7956.46,344
12429.0,VIP,9,4,3750.4,434
12430.0,Regular,43,1,256.4,311
12431.0,VIP,36,15,6487.45,344
12432.0,Regular,43,5,5059.32,334
12433.0,VIP,1,7,13375.87,444
12434.0,At Risk,85,2,806.14,223
12435.0,At Risk,80,2,7829.89,224
12436.0,At Risk,100,1,509.01,212
12437.0,VIP,2,18,4951.41,444
12438.0,Regular,14,2,2906.85,424
12441.0,At Risk,367,1,173.55,111
12442.0,Regular,3,1,172.06,411
12444.0,Regular,21,5,5005.46,334
12445.0,Regular,22,1,133.4,311
12446.0,At Risk,58,1,1002.3100000000001,213
12447.0,At Risk,243,1,476.49,112
12448.0,Regular,44,1,449.45,312
12449.0,Regular,22,4,4067.29,334
12450.0,At Risk,156,2,197.88,121
12451.0,VIP,11,5,9035.52,434
12452.0,Regular,17,2,430.57,422
12453.0,At Risk,134,1,707.09,213
12454.0,At Risk,56,1,3528.34,214
12455.0,At Risk,73,6,2466.86,244
12456.0,Regular,44,3,3181.04,334
12457.0,At Risk,66,7,2363.23,244
12458.0,At Risk,71,2,947.4,223
12461.0,At Risk,94,2,826.88,223
12462.0,Regular,19,2,1189.59,323
12463.0,At Risk,53,4,1344.78,233
12464.0,VIP,10,8,1212.05,443
12465.0,Regular,17,2,742.1899999999999,423
12468.0,At Risk,188,2,729.5400000000001,123
12471.0,VIP,2,30,19824.05,444
12472.0,VIP,32,7,6572.11,344
12473.0,Regular,29,5,3938.5499999999997,334
12474.0,VIP,17,18,7375.79,444
12475.0,At Risk,54,1,723.38,213
12476.0,VIP,16,11,6816.42,444
12477.0,VIP,23,6,13219.74,344
12478.0,Regular,4,1,680.99,413
12479.0,Regular,11,1,527.2,412
12480.0,Regular,28,4,3281.63,334
12481.0,VIP,23,10,5596.32,344
12483.0,VIP,17,8,2484.98,444
12484.0,VIP,33,6,4541.72,344
12488.0,Regular,10,3,1298.66,433
12489.0,At Risk,336,1,334.93,112
12490.0,VIP,5,10,5417.93,444
12491.0,Regular,39,1,460.40000000000003,312
12492.0,At Risk,63,2,263.21000000000004,221
12493.0,At Risk,166,2,433.74,122
12494.0,VIP,16,7,1246.1000000000001,443
12497.0,At Risk,82,1,1043.1,213
12498.0,Regular,21,3,403.70000000000005,332
12500.0,VIP,23,11,4257.82,344
12501.0,At Risk,337,1,2169.39,114
12502.0,At Risk,96,5,3723.87,234
12504.0,Regular,18,2,482.04999999999995,422
12506.0,At Risk,233,1,73.5,111
12507.0,At Risk,134,3,1304.81,233
12508.0,Regular,26,2,398.27,322
12509.0,At Risk,284,1,176.5,111
12510.0,At Risk,143,2,982.5699999999999,123
12512.0,At Risk,66,2,138.03,221
12513.0,At Risk,113,1,612.29,212
12514.0,At Risk,267,1,1017.68,113
12515.0,At Risk,353,1,383.7,112
12516.0,At Risk,78,2,1312.06,223
12517.0,Regular,28,5,2502.84,334
12518.0,VIP,1,5,2056.89,434
12519.0,At Risk,64,1,340.84,212
12520.0,At Risk,79,5,2634.26,234
12521.0,At Risk,143,1,599.68,112
12522.0,Regular,39,2,192.72,321
12523.0,VIP,19,11,1789.77,344
12524.0,VIP,9,8,4485.72,444
12526.0,Regular,1,3,1316.66,433
12527.0,At Risk,82,3,348.71000000000004,232
12528.0,VIP,9,6,1933.48,444
12530.0,At Risk,60,4,1662.28,234
12531.0,Regular,15,1,125.22,411
12532.0,Regular,30,1,349.83000000000004,312
12534.0,At Risk,131,1,1089.18,213
12535.0,At Risk,92,2,716.35,223
12536.0,Regular,43,3,12601.830000000002,334
12538.0,Regular,29,1,363.95,312
12539.0,Regular,22,4,5568.35,334
12540.0,VIP,20,17,13400.24,344
12541.0,Regular,30,3,981.18,333
12544.0,Regular,36,1,372.7,312
12545.0,At Risk,75,2,1000.39,223
12546.0,Regular,47,2,1161.5,323
12547.0,At Risk,198,2,207.79999999999998,121
12548.0,At Risk,166,1,95.19999999999999,111
12550.0,At Risk,79,1,964.83,213
12551.0,At Risk,358,1,168.0,111
12552.0,Regular,39,2,437.82,322
12553.0,VIP,8,10,3692.28,444
12556.0,Regular,50,2,603.71,322
12557.0,VIP,16,5,11990.960000000001,434
12558.0,Regular,8,1,269.96,411
12559.0,At Risk,311,2,561.71,122
12560.0,VIP,5,3,2134.01,434
12561.0,At Risk,303,1,238.85,111
12562.0,VIP,8,7,3781.7400000000002,444
12564.0,At Risk,261,1,456.9,112
12565.0,At Risk,289,1,145.92,111
12566.0,At Risk,86,1,351.65,212
12567.0,VIP,23,10,9401.28,344
12569.0,VIP,2,32,4124.69,444
12571.0,Regular,40,2,519.61,322
12572.0,Regular,9,2,1020.42,423
12573.0,At Risk,227,1,160.54000000000002,111
12574.0,At Risk,316,1,218.45,111
12576.0,Regular,36,5,1315.83,333
12577.0,Regular,35,3,657.8,332
12578.0,Regular,21,2,2794.51,324
12579.0,At Risk,78,1,440.42,212
12580.0,At Risk,247,1,415.7,112
12581.0,Regular,40,1,197.71,311
