sku,product_name,category,units_sold,ending_inventory,sell_through_rate,inventory_turnover
90068,"RUBY GLASS NECKLACE 42""",kitchen,1,98,0.010101010101010102,0.01015228426395939
85035b,CHOCOLATE 3 WICK MORRIS BOX CANDLE,home decor,1,97,0.01020408163265306,0.010256410256410256
77079,DOLPHIN WINDMILL,other,1,96,0.010309278350515464,0.010362694300518135
DCGS0070,CAMOUFLAGE DOG COLLAR,other,1,95,0.010416666666666666,0.010471204188481676
20703,BLUE PADDED SOFT MOBILE,other,1,94,0.010526315789473684,0.010582010582010581
72803b,OCEAN SCENT CANDLE JEWELLED DRAWER,home decor,1,94,0.010526315789473684,0.010582010582010581
90020,FILIGREE DIAMANTE CHAIN,other,1,93,0.010638297872340425,0.0106951871657754
84031a,CHARLIE+LOLA RED HOT WATER BOTTLE ,kitchen,1,92,0.010752688172043012,0.010810810810810811
47579,TEA TIME BREAKFAST BASKET,kitchen,1,91,0.010869565217391304,0.01092896174863388
84661a,WHITE SQUARE TABLE CLOCK,home decor,1,90,0.01098901098901099,0.011049723756906077
85036b,CHOCOLATE 1 WICK MORRIS BOX CANDLE,home decor,1,90,0.01098901098901099,0.011049723756906077
90184c,BLACK CHUNKY BEAD BRACELET W STRAP,other,1,89,0.011111111111111112,0.0111731843575419
22146,EASTER CRAFT IVY WREATH WITH CHICK,seasonal,1,87,0.011363636363636364,0.011428571428571429
47591b,SCOTTIES CHILDRENS APRON,other,1,87,0.011363636363636364,0.011428571428571429
84596l,BISCUITS SMALL BOWL LIGHT BLUE,home decor,1,86,0.011494252873563218,0.011560693641618497
m,Manual,other,1,86,0.011494252873563218,0.011560693641618497
85170A,SET/6 IVORY BIRD T-LIGHT CANDLES,home decor,1,84,0.011764705882352941,0.011834319526627219
90187A,BLUE DROP EARRINGS W BEAD CLUSTER,other,1,84,0.011764705882352941,0.011834319526627219
90081B,LILY BROOCH WHITE/SILVER COLOUR,other,1,82,0.012048192771084338,0.012121212121212121
35597A,DUSTY PINK CHRISTMAS TREE 30CM,seasonal,1,79,0.0125,0.012578616352201259
85034b,3 WHITE CHOC MORRIS BOXED CANDLES,home decor,1,79,0.0125,0.012578616352201259
85160a,WHITE BIRD GARDEN DESIGN MUG,home decor,1,75,0.013157894736842105,0.013245033112582781
84031b,CHARLIE LOLA BLUE HOT WATER BOTTLE ,kitchen,1,74,0.013333333333333334,0.013422818791946308
72802c,VANILLA SCENT CANDLE JEWELLED BOX,home decor,1,73,0.013513513513513514,0.013605442176870748
37474,SET/4 2 TONE EGG SHAPE MIXING BOWLS,kitchen,1,72,0.0136986301369863,0.013793103448275862
85049c,ROMANTIC PINKS RIBBONS ,gift/decorative,1,72,0.0136986301369863,0.013793103448275862
84227,HEN HOUSE W CHICK IN NEST,other,1,71,0.013888888888888888,0.013986013986013986
DCGS0069,OOH LA LA DOGS COLLAR,other,1,71,0.013888888888888888,0.013986013986013986
84510e,SET OF 4 GREEN CAROUSEL COASTERS,sets,1,70,0.014084507042253521,0.014184397163120567
21009,ETCHED GLASS STAR TREE DECORATION,home decor,1,68,0.014492753623188406,0.014598540145985401
21310,CAPIZ CHANDELIER,other,1,67,0.014705882352941176,0.014814814814814815
90178B,PURPLE CHUNKY GLASS+BEAD NECKLACE,kitchen,1,67,0.014705882352941176,0.014814814814814815
90100,NECKLACE+BRACELET SET PINK DAISY,sets,1,66,0.014925373134328358,0.015037593984962405
90025B,BAROQUE BUTTERFLY EARRINGS RED,other,1,66,0.014925373134328358,0.015037593984962405
84743C,ORANGE FELT VASE + FLOWERS,home decor,1,63,0.015625,0.015748031496062992
90152C,BLUE/NAT SHELL NECKLACE W PENDANT,stationery,1,63,0.015625,0.015748031496062992
37461,FUNKY MONKEY MUG,kitchen,1,61,0.016129032258064516,0.016260162601626018
22528,GARDENERS KNEELING PAD,other,1,60,0.01639344262295082,0.01652892561983471
84613C,BLUE NEW BAROQUE FLOCK CANDLESTICK,home decor,1,60,0.01639344262295082,0.01652892561983471
21491,SET OF THREE VINTAGE GIFT WRAPS,gift/decorative,1,58,0.01694915254237288,0.017094017094017096
90021,LASER CUT MULTI STRAND NECKLACE,other,1,58,0.01694915254237288,0.017094017094017096
90060B,FIRE POLISHED GLASS NECKL GOLD,kitchen,1,56,0.017543859649122806,0.017699115044247787
85179a,GREEN BITTY LIGHT CHAIN,home decor,1,54,0.01818181818181818,0.01834862385321101
84550,CROCHET LILAC/RED BEAR KEYRING,other,1,53,0.018518518518518517,0.018691588785046728
90092,BLUE CRYSTAL BOOT PHONE CHARM,other,1,53,0.018518518518518517,0.018691588785046728
90037A,TINY CRYSTAL BRACELET RED,kitchen,1,53,0.018518518518518517,0.018691588785046728
90135A,ORANGE/FUSCHIA STONES NECKLACE,other,1,53,0.018518518518518517,0.018691588785046728
21414,SCALLOP SHELL SOAP DISH,other,1,52,0.018867924528301886,0.01904761904761905
23602,SET 10 CARDS 3 WISE MEN 17107,gift/decorative,1,52,0.018867924528301886,0.01904761904761905
23609,SET 10 CARDS SNOWY ROBIN 17099,gift/decorative,1,51,0.019230769230769232,0.019417475728155338
23664,FLOWER SHOP DESIGN MUG,home decor,1,50,0.0196078431372549,0.019801980198019802
84661b,BLACK SQUARE TABLE CLOCK,home decor,1,50,0.0196078431372549,0.019801980198019802
46776b,WOVEN BERRIES CUSHION COVER ,other,1,49,0.02,0.020202020202020204
20964,POLYESTER FILLER PAD 60x40cm,other,2,96,0.02040816326530612,0.020618556701030927
90128C,GREEN LEAVES AND BEADS PHONE CHARM,other,2,96,0.02040816326530612,0.020618556701030927
90189A,SILVER 2 STRAND NECKLACE-LEAF CHARM,other,2,96,0.02040816326530612,0.020618556701030927
90128B,BLUE LEAVES AND BEADS PHONE CHARM,other,2,95,0.020618556701030927,0.020833333333333332
21186,WHITE DOVE HONEYCOMB PAPER GARLAND,stationery,2,94,0.020833333333333332,0.021052631578947368
21839,MUMMY MOUSE RED GINGHAM RIBBON,gift/decorative,1,47,0.020833333333333332,0.021052631578947368
90126A,PINK BERTIE MOBILE PHONE CHARM,other,1,47,0.020833333333333332,0.021052631578947368
DCGS0004,HAYNES CAMPER SHOULDER BAG,bags,1,47,0.020833333333333332,0.021052631578947368
90181C,BLACK GLASS/SHELL/PEARL NECKLACE,kitchen,1,46,0.02127659574468085,0.021505376344086023
20954,*USB Office Mirror Ball,home decor,2,90,0.021739130434782608,0.02197802197802198
23652,SET 10 CARD CHRISTMAS STAMPS 16963,gift/decorative,2,89,0.02197802197802198,0.022222222222222223
90025A,BAROQUE BUTTERFLY EARRINGS BLACK,other,2,88,0.022222222222222223,0.02247191011235955
23617,SET 10 CARDS SWIRLY XMAS TREE 17104,gift/decorative,2,87,0.02247191011235955,0.022727272727272728
84968f,SET OF 16 VINTAGE SKY BLUE CUTLERY,kitchen,1,43,0.022727272727272728,0.022988505747126436
90024E,NEW BAROQUE B'FLY NECKLACE MONTANA,other,2,85,0.022988505747126436,0.023255813953488372
21667,GLASS CAKE COVER AND PLATE,kitchen,2,84,0.023255813953488372,0.023529411764705882
90024D,NEW BAROQUE B'FLY NECKLACE PINK,other,2,84,0.023255813953488372,0.023529411764705882
90126C,AMBER BERTIE MOBILE PHONE CHARM,other,2,84,0.023255813953488372,0.023529411764705882
21410,COUNTRY COTTAGE  DOORSTOP GREEN,home decor,1,42,0.023255813953488372,0.023529411764705882
22218,CAKE STAND LACE WHITE,kitchen,1,42,0.023255813953488372,0.023529411764705882
62096B,PURPLE/TURQ FLOWERS HANDBAG,home decor,2,82,0.023809523809523808,0.024096385542168676
84614A,PINK BAROQUE FLOCK CANDLE HOLDER,home decor,2,82,0.023809523809523808,0.024096385542168676
20871,OPULENT VELVET SET/3 CANDLES,home decor,2,81,0.024096385542168676,0.024390243902439025
37509,NEW ENGLAND MUG W GIFT BOX,home decor,2,80,0.024390243902439025,0.024691358024691357
90112,PINK DOLLY HAIR CLIPS,other,2,79,0.024691358024691357,0.025
23630,SET 10 CARDS HANGING BAUBLES 17080,gift/decorative,2,75,0.025974025974025976,0.02631578947368421
85184c,SET 4 VALENTINE DECOUPAGE HEART BOX,home decor,2,75,0.025974025974025976,0.02631578947368421
21595,Dad's Cab Electronic Meter,other,2,74,0.02631578947368421,0.02666666666666667
46776e,WOVEN CANDY CUSHION COVER ,other,1,37,0.02631578947368421,0.02666666666666667
