sku,product_name,category,units_sold,ending_inventory,sell_through_rate,estimated_weekly_demand,reorder_point,recommended_reorder_qty,recommendation
23843,"PAPER CRAFT , LITTLE BIRDIE",stationery,80995,88,0.998914692352281,1520.0134048257373,9120.080428954425,9032.0,Reorder immediately
23166,MEDIUM CERAMIC TOP STORAGE JAR,home decor,78033,19,0.9997565725413826,1464.4262734584452,8786.55764075067,8768.0,Reorder immediately
22197,SMALL POPCORN HOLDER,home decor,56921,60,0.9989470174268615,1068.2225201072386,6409.335120643431,6349.0,Reorder immediately
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,home decor,55047,58,0.9989474639324926,1033.053619302949,6198.321715817694,6140.0,Reorder immediately
85099B,JUMBO BAG RED RETROSPOT,bags,48474,31,0.999360890629832,909.6997319034853,5458.198391420911,5427.0,Reorder immediately
85123A,WHITE HANGING HEART T-LIGHT HOLDER,home decor,37660,75,0.9980124552802438,706.7560321715818,4240.53619302949,4166.0,Reorder immediately
21212,PACK OF 72 RETROSPOT CAKE CASES,kitchen,36419,57,0.9984373286544578,683.4664879356568,4100.798927613941,4044.0,Reorder immediately
84879,ASSORTED COLOUR BIRD ORNAMENT,home decor,36461,95,0.9974012474012474,684.254691689008,4105.528150134049,4011.0,Reorder immediately
23084,RABBIT NIGHT LIGHT,home decor,30788,83,0.9973113925690777,577.7908847184987,3466.745308310992,3384.0,Reorder immediately
22616,PACK OF 12 LONDON TISSUES ,sets,26135,23,0.9991207278843949,490.4691689008043,2942.8150134048255,2920.0,Reorder immediately
22492,MINI PAINT SET VINTAGE ,sets,26633,84,0.9968559344237751,499.8150134048257,2998.890080428954,2915.0,Reorder immediately
21977,PACK OF 60 PINK PAISLEY CAKE CASES,kitchen,24854,99,0.9960325411774136,466.42895442359253,2798.573726541555,2700.0,Reorder immediately
22178,VICTORIAN GLASS HANGING T-LIGHT,home decor,24304,98,0.9959839357429718,456.10723860589815,2736.643431635389,2639.0,Reorder immediately
15036,ASSORTED COLOURS SILK FAN,other,23826,97,0.9959453245830372,447.1367292225201,2682.820375335121,2586.0,Reorder immediately
17003,BROCADE RING PURSE ,bags,23056,60,0.9974043952240872,432.686327077748,2596.117962466488,2536.0,Reorder immediately
