year_month,total_revenue,total_orders,total_customers,units_sold,average_order_value
2010-12,554604.02,1708,948,296362,324.7096135831382
2011-01,475074.38,1236,783,269379,384.3643851132686
2011-02,436546.15,1202,798,262833,363.183153078203
2011-03,579964.61,1619,1020,344012,358.2239715873996
2011-04,426047.851,1384,899,278585,307.8380426300578
2011-05,648251.08,1849,1079,367852,350.59550027041644
2011-06,608013.16,1707,1051,356922,356.1881429408319
2011-07,574238.481,1593,993,363418,360.4761337099812
2011-08,616368.0,1544,980,386612,399.2020725388601
2011-09,931440.372,2078,1302,537496,448.2388700673725
2011-10,974603.59,2263,1425,569666,430.66884224480776
2011-11,1132407.74,3086,1711,669915,366.9500129617628
2011-12,342506.38,921,686,203836,371.8853203040174
